price,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathroom_qty,bathroom_type,mrtDisp,nearestMRT,cityDisp
70.0,1.34571,103.96073,Home,Private room,7,1.0,1.0,1,private,0.3977359359679287,Upper Changi,14.130828645790125
121.0,1.38777,103.89649,Apartment,Shared room,1,1.0,1.0,0,shared,0.44938997489300686,Sengkang,12.714284072727112
70.0,1.3464,103.96256,Home,Private room,5,1.0,1.0,1,private,0.47957880447502954,Upper Changi,14.345756123389934
165.0,1.3212,103.91483,Home,Private room,4,1.0,1.0,1,baths,0.15691417022550666,Kembangan,8.348646246499516
173.0,1.30153,103.85344,Condominium,Entire home/apt,3,1.0,3.0,1,baths,0.24929879211403813,Rochor,2.062842506517973
115.0,1.31642,103.85759,Home,Entire home/apt,4,1.0,2.0,1,baths,0.5141340784381139,Farrer Park,3.7782001302150805
80.0,1.346,103.9626,Home,Private room,6,1.0,1.0,1,private,0.4378021475789177,Upper Changi,14.32794017894968
80.0,1.31132,103.79736,Apartment,Private room,1,1.0,1.0,1,private,0.13872385168029608,Holland Village,6.629567416922597
50.0,1.35894,103.96465,Condominium,Private room,1,1.0,1.0,2,shared,1.061453844556459,Tampines East,15.270223599762154
49.0,1.40015,103.90537,Apartment,Private room,2,1.0,2.0,1,private,0.6524061481940154,Punggol,14.37734645939523
70.0,1.31107,103.79687,Condominium,Private room,1,1.0,1.0,1,shared,0.0845277697420514,Holland Village,6.664772918783417
180.0,1.43012,103.78434,Condominium,Entire home/apt,4,1.0,2.0,1,baths,0.797045997841499,Woodlands,17.883034569442252
98.0,1.32874,103.88439,Home,Private room,1,1.0,1.0,1,baths,0.2396713602067895,Mattar,6.336023344539417
90.0,1.28191,103.85202,Condominium,Private room,1,1.0,1.0,1,private,0.2383071742561351,Raffles Place,0.2726084216886106
100.0,1.32515,103.84914,Apartment,Entire home/apt,1,1.0,1.0,1,baths,0.8286613665112607,Toa Payoh,4.6544960504337105
45.0,1.36973,103.82847,Home,Private room,1,1.0,1.0,1,shared,2.2662702880995593,Yio Chu Kang,9.904128562398794
294.0,1.296265,103.840942,Apartment,Entire home/apt,3,1.0,1.0,1,baths,0.5483620073343183,Somerset,1.7584897043829621
40.0,1.29575,103.76707,Home,Private room,2,2.0,2.0,1,shared,1.9454253213412234,Kent Ridge,9.32243550060537
77.0,1.34507,103.76804,Apartment,Private room,1,1.0,1.0,1,baths,0.932716875499749,Beauty World,11.410067625940442
140.0,1.44167,103.82376,Home,Private room,2,1.0,1.0,1,private,0.9261799851991986,Sembawang,17.84991206251956
255.0,1.31099,103.85849,Apartment,Entire home/apt,6,1.0,2.0,1,baths,0.4438868635732163,Farrer Park,3.220397007429765
100.0,1.32419,103.85252,Condominium,Entire home/apt,2,1.0,1.0,1,baths,1.0741662977780209,Toa Payoh,4.555388732483888
71.0,1.31697,103.89104,Condominium,Private room,2,1.0,1.0,1,private,0.27068337822513433,Paya Lebar,5.901812673424374
90.0,1.34611,103.87071,Home,Private room,2,1.0,1.0,1,shared,0.5289473441670257,Serangoon,7.353832951801166
78.0,1.3124,103.85758,Apartment,Private room,1,1.0,1.0,1,private,0.30263160976663656,Farrer Park,3.343695270260895
92.0,1.27914,103.85002,Home,Private room,2,1.0,2.0,0,baths,0.31170672668047994,Downtown,0.4625768769852527
120.0,1.30205,103.85804,Apartment,Private room,4,1.0,1.0,8,baths,0.2811119775865378,Bugis,2.2684101640910503
100.0,1.34385,103.86892,Home,Private room,2,1.0,2.0,1,private,0.5544985844499947,Woodleigh,7.053731365454331
90.0,1.34603,103.87037,Home,Private room,2,1.0,1.0,1,shared,0.5597272502530227,Serangoon,7.333626475811867
150.0,1.30613,103.78094,Apartment,Entire home/apt,3,1.0,1.0,2,baths,0.6427433999931472,Dover,8.08599853264007
59.0,1.31011,103.86325,Apartment,Private room,1,1.0,1.0,3,shared,0.28185505764147667,Lavender,3.325176700514527
37.0,1.3149,103.88133,Apartment,Private room,1,1.0,1.0,1,shared,0.23658746229396252,Aljunied,4.94739932712565
200.0,1.32614,103.8634,Condominium,Entire home/apt,2,1.0,1.0,1,baths,0.7000328860902232,Boon Keng,4.991076980629546
180.0,1.30423,103.784,Condominium,Entire home/apt,6,2.0,3.0,3,baths,0.6288944415663664,one-north,7.697273483765174
