price,latitude,longitude,property_type,room_type,bedrooms,beds,bathroom_qty,bathroom_type
100.0,1.31716,103.91259,Apartment,Private room,1.0,1.0,1.0,private
100.0,1.31696,103.91394,Apartment,Private room,1.0,1.0,1.0,private
100.0,1.31851,103.9123,Apartment,Private room,1.0,1.0,1.0,private
100.0,1.31855,103.91259,Apartment,Private room,1.0,1.0,1.0,private
85.0,1.28039,103.85169,Apartment,Private room,1.0,1.0,1.0,private
120.0,1.28002,103.85181,Apartment,Entire home/apt,1.0,1.0,1.0,baths
45.0,1.3455,103.96045,Apartment,Private room,1.0,1.0,1.0,private
28.0,1.30389,103.849,Hotel,Shared room,1.0,1.0,0.0,baths
33.0,1.30356,103.84953,Hotel,Shared room,1.0,1.0,0.0,baths
33.0,1.30394,103.85108,Hotel,Shared room,1.0,1.0,0.0,shared
30.0,1.30345,103.84902,Apartment,Shared room,1.0,1.0,0.0,baths
186.0,1.31334,103.89381,Apartment,Entire home/apt,3.0,4.0,2.0,baths
125.0,1.28146,103.85142,Apartment,Entire home/apt,1.0,1.0,2.0,baths
130.0,1.3055,103.84889,Apartment,Shared room,1.0,4.0,0.0,baths
151.0,1.28202,103.85222,Apartment,Entire home/apt,1.0,1.0,1.0,baths
112.0,1.44162,103.82343,House,Private room,1.0,1.0,1.0,private
160.0,1.34789,103.93969,Apartment,Entire home/apt,3.0,3.0,3.0,baths
237.0,1.296265,103.840942,Apartment,Entire home/apt,1.0,1.0,1.0,baths
33.0,1.30362,103.84967,Apartment,Shared room,1.0,1.0,0.0,baths
28.0,1.30479,103.85091,Apartment,Shared room,1.0,8.0,0.0,baths
36.0,1.30565,103.84964,Apartment,Shared room,1.0,1.0,0.0,baths
30.0,1.30563,103.85041,Apartment,Shared room,1.0,1.0,0.0,baths
27.0,1.34546,103.70155,Apartment,Private room,1.0,1.0,2.0,baths
59.0,1.30803,103.8627,Apartment,Private room,1.0,1.0,3.0,shared
120.0,1.31662,103.83582,Apartment,Private room,1.0,1.0,1.0,baths
250.0,1.28172,103.85193,Apartment,Entire home/apt,1.0,2.0,1.0,baths
60.0,1.35476,103.87241,Apartment,Private room,1.0,2.0,1.0,baths
119.0,1.35329,103.93195,Apartment,Shared room,1.0,1.0,0.0,shared
90.0,1.32218,103.84192,Apartment,Private room,1.0,2.0,1.0,baths
63.0,1.28326,103.84468,Hotel,Hotel room,1.0,9.0,5.0,baths
66.0,1.2852,103.84512,Hotel,Hotel room,1.0,6.0,5.0,baths
64.0,1.28283,103.84486,Hotel,Hotel room,1.0,8.0,5.0,baths
66.0,1.28426,103.84442,Hotel,Hotel room,1.0,8.0,1.0,baths
211.0,1.2802,103.8507,Apartment,Entire home/apt,1.0,1.0,1.0,baths
461.0,1.28199,103.85358,Apartment,Entire home/apt,2.0,2.0,2.0,baths
284.0,1.39021,103.85452,Apartment,Private room,1.0,2.0,1.0,shared
89.0,1.3072,103.90167,House,Private room,1.0,1.0,1.0,shared
85.0,1.31131,103.87242,House,Private room,1.0,4.0,1.0,shared
24.0,1.31147,103.86072,Hotel,Hotel room,1.0,16.0,6.0,baths
518.0,1.28313,103.84356,Hotel,Hotel room,1.0,7.0,0.0,baths
80.0,1.34589,103.74904,Apartment,Entire home/apt,3.0,5.0,2.0,baths
127.0,1.32205,103.84122,Apartment,Private room,1.0,2.0,1.0,private
259.0,1.29673,103.8574,Apartment,Entire home/apt,2.0,2.0,1.0,baths
51.0,1.28535,103.85062,Hotel,Shared room,1.0,1.0,4.0,shared
103.0,1.28656,103.8482,Hotel,Shared room,1.0,2.0,4.0,shared
79.0,1.28775,103.85017,Hotel,Shared room,1.0,1.0,4.0,shared
80.0,1.42591,103.8495,Apartment,Private room,1.0,2.0,1.0,shared
67.0,1.3117,103.86028,Hotel,Private room,1.0,1.0,5.0,shared
47.0,1.31458,103.85076,Hotel,Hotel room,1.0,2.0,8.0,baths
259.0,1.29672,103.8572,Apartment,Entire home/apt,2.0,2.0,1.0,baths
56.0,1.33284,103.87767,Apartment,Shared room,1.0,2.0,1.0,shared
259.0,1.34842,103.74679,Apartment,Private room,1.0,1.0,1.0,private
105.0,1.30959,103.87369,House,Private room,1.0,5.0,0.0,baths
125.0,1.30975,103.87248,House,Private room,1.0,6.0,0.0,baths
145.0,1.31106,103.87212,House,Private room,1.0,7.0,0.0,baths
165.0,1.31103,103.87422,House,Private room,1.0,8.0,0.0,baths
200.0,1.31161,103.8741,House,Private room,1.0,8.0,1.0,baths
165.0,1.30976,103.87371,House,Private room,1.0,7.0,1.0,baths
300.0,1.31017,103.87419,House,Private room,1.0,16.0,8.0,baths
50.0,1.34729,103.72103,Apartment,Private room,1.0,1.0,1.0,baths
140.0,1.43965,103.82345,Apartment,Private room,1.0,1.0,1.0,private
140.0,1.43992,103.82355,Apartment,Private room,1.0,1.0,1.0,private
53.0,1.31036,103.93592,Apartment,Private room,2.0,2.0,2.0,baths
88.0,1.35165,103.75409,Apartment,Private room,1.0,1.0,1.0,shared
69.0,1.28393,103.84335,Apartment,Private room,1.0,1.0,2.0,shared
300.0,1.28549,103.83457,Apartment,Entire home/apt,1.0,1.0,1.0,baths
130.0,1.28019,103.85334,Apartment,Private room,1.0,1.0,1.0,private
100.0,1.449275,103.79026,Apartment,Private room,1.0,1.0,2.0,shared
59.0,1.31689,103.8526,House,Private room,1.0,1.0,1.0,private
64.0,1.37697,103.90241,Apartment,Entire home/apt,1.0,1.0,1.0,baths
178.0,1.30999,103.88591,Apartment,Entire home/apt,3.0,3.0,3.0,baths
88.0,1.28276,103.8433,Apartment,Private room,1.0,1.0,2.0,shared
80.0,1.40529,103.90117,Apartment,Private room,1.0,1.0,1.0,private
58.0,1.2832,103.84217,Apartment,Private room,1.0,1.0,3.0,shared
79.0,1.28848,103.84982,Hotel,Shared room,1.0,1.0,4.0,shared
29.0,1.30362,103.84929,Apartment,Shared room,1.0,4.0,0.0,baths
47.0,1.31166,103.85976,Hotel,Shared room,1.0,1.0,1.0,shared
93.0,1.31324,103.85954,Hotel,Shared room,1.0,2.0,5.0,shared
280.0,1.31339,103.86032,Hotel,Private room,1.0,6.0,5.0,baths
88.0,1.28488,103.84215,Apartment,Private room,1.0,1.0,2.0,shared
60.0,1.31656,103.83964,Apartment,Private room,1.0,1.0,2.0,baths
220.0,1.31457,103.8865,Apartment,Entire home/apt,2.0,2.0,2.0,baths
47.0,1.31331,103.86044,Hotel,Shared room,1.0,1.0,5.0,shared
48.0,1.31277,103.86168,Hotel,Shared room,1.0,1.0,5.0,shared
47.0,1.31318,103.861,Hotel,Shared room,1.0,1.0,8.0,shared
47.0,1.31239,103.85969,Hotel,Shared room,1.0,1.0,5.0,shared
164.0,1.28289,103.84659,Hotel,Hotel room,1.0,2.0,5.0,shared
93.0,1.31163,103.85953,Hotel,Shared room,1.0,2.0,5.0,shared
212.0,1.43873,103.82344,Apartment,Private room,1.0,1.0,1.0,baths
140.0,1.39156,103.87852,Apartment,Entire home/apt,2.0,2.0,2.0,baths
53.0,1.28647,103.85029,Hotel,Shared room,1.0,28.0,7.0,shared
123.0,1.31907,103.91024,Apartment,Entire home/apt,1.0,1.0,1.0,baths
45.0,1.42562,103.82559,Apartment,Private room,1.0,1.0,1.0,baths
55.0,1.28686,103.80238,Apartment,Private room,1.0,1.0,3.0,shared
63.0,1.2836,103.84435,Hotel,Hotel room,1.0,5.0,5.0,baths
250.0,1.34411,103.88114,Apartment,Entire home/apt,3.0,3.0,2.0,baths
150.0,1.2983,103.89036,Apartment,Private room,1.0,1.0,1.0,baths
56.0,1.28819,103.84821,Hotel,Shared room,1.0,4.0,7.0,shared
465.0,1.28543,103.8457,Apartment,Entire home/apt,3.0,3.0,2.0,baths
24.0,1.3114,103.86077,Hotel,Hotel room,1.0,16.0,6.0,baths
47.0,1.31117,103.86066,Hotel,Hotel room,1.0,2.0,8.0,baths
47.0,1.31155,103.86083,Hotel,Shared room,1.0,16.0,8.0,shared
24.0,1.31134,103.86073,Hotel,Shared room,1.0,16.0,6.0,shared
