host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,availability_30,availability_90,availability_365,property_type,room_type,accommodates,bedrooms,beds,instant_bookable,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,calculated_host_listings_count,calculated_host_listings_count_private_rooms,bathroom_qty,bathroom_type,Long term stays allowed,Television,Heater,Internet,Air Conditioning,Essentials,Swimming Pool,Washer,Refrigerator,Cooking basics,Gym,Bathtub,Coffee,Clothing storage,Garden,Elevator,Security Lock,Patio or balcony,BBQ Grill,Sound system,name_len,desc_len,mrtDisp,nearestMRT,cityDisp
within a day,1.0,0.17,f,t,t,Pasir Ris,East Region,1.37975,103.94375,0.2,0.3888888888888889,0.5753424657534246,Apartment,Private room,2,1.0,1.0,f,50.0,10,0.09,4.7,4.9,1,1,1.0,baths,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,50,0.9547368731306155,Pasir Ris,14.954360496217289
within a day,0.9,1.0,f,t,t,Kallang,Central Region,1.3072,103.86359,0.0,0.0,0.7232876712328767,Apartment,Private room,1,1.0,1.0,t,59.0,9,0.09,4.14,4.43,97,95,3.0,shared,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,150,0.06399810532956446,Lavender,3.0569623340901377
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Novena,Central Region,1.32359,103.8498,0.0,0.0,0.0,Apartment,Private room,4,1.0,4.0,f,30.0,0,0.0,0.0,0.0,1,1,1.0,baths,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,145,0.8105142278529162,Novena,4.480104951064671
within a day,1.0,0.7301176800224078,f,t,t,Kallang,Central Region,1.31108,103.87374,1.0,1.0,1.0,House,Entire home/apt,8,4.0,12.0,t,130.0,0,0.0,0.0,0.0,1,0,4.0,baths,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,174,0.26799609227840465,Kallang,4.062848444167233
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Bukit Merah,Central Region,1.28419,103.82765,0.0,0.0,0.0,Apartment,Private room,1,1.0,1.0,f,60.0,0,0.0,0.0,0.0,1,1,1.0,baths,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,112,0.2740596393048982,Tiong Bahru,2.486556399493258
within a day,0.9,1.0,f,t,t,Outram,Central Region,1.2841,103.84253,0.7333333333333333,0.9111111111111111,0.9780821917808219,Apartment,Private room,1,1.0,1.0,t,79.0,5,0.09,4.4,4.2,97,95,2.0,baths,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,150,0.13240007711337878,Chinatown,0.8351697632281164
unknown,0.8849536231883985,0.7301176800224078,f,t,t,Ang Mo Kio,North-East Region,1.39088,103.85303,0.0,0.0,0.0,Apartment,Private room,3,1.0,2.0,f,216.0,0,0.0,0.0,0.0,1,1,1.0,baths,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,34,1.3562527531227682,Yio Chu Kang,11.967107912933256
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Bukit Batok,West Region,1.34126,103.75992,0.0,0.0,0.0,Apartment,Private room,1,1.0,1.0,f,84.0,0,0.0,0.0,0.0,1,1,1.0,baths,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,103,1.4391355052974768,Bukit Batok,11.90852662223648
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Rochor,Central Region,1.30292,103.858,0.0,0.0,0.0,Hotel,Private room,3,1.0,3.0,f,90.0,2,0.03,4.0,3.5,7,7,8.0,baths,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,197,0.33807186467270844,Bugis,2.355950090998227
within an hour,1.0,1.0,f,t,t,Outram,Central Region,1.28405,103.84424,1.0,1.0,0.6520547945205479,Hotel,Shared room,1,1.0,1.0,f,63.0,150,1.39,4.56,4.43,5,0,0.0,shared,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,134,0.0891686521400095,Chinatown,0.6457308950125067
